DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4188.3999,77.984,78.018,147.301,2.662,105.364,18.947,24.984,21.788,3.592,18.493,8.916,1.328,115.258,0.989,0.205
4188.5,77.886,78.155,147.867,2.665,103.91,18.755,24.982,21.786,3.575,17.919,9.106,1.321,115.428,1.002,0.196
4188.6001,77.775,78.291,148.517,2.669,103.051,18.68,24.981,21.784,3.536,17.564,9.283,1.32,115.643,1.018,0.19
4188.7002,77.668,78.477,148.942,2.674,102.698,18.688,24.98,21.783,3.49,17.397,9.428,1.314,115.848,1.047,0.185
4188.7998,77.594,78.733,149.04,2.677,102.947,18.654,24.979,21.782,3.444,17.334,9.562,1.317,116.036,1.071,0.181
4188.8999,77.599,79.022,148.597,2.678,104.21,18.5,24.978,21.78,3.412,17.51,9.647,1.294,116.189,1.099,0.176
4189.0,77.715,79.275,147.896,2.677,106.604,18.289,24.978,21.776,3.416,17.846,9.663,1.302,116.322,1.135,0.172
4189.1001,77.943,79.455,146.865,2.674,109.404,18.081,24.978,21.771,3.455,18.164,9.623,1.309,116.43,1.156,0.169
4189.2002,78.263,79.381,145.384,2.671,111.55,17.827,24.978,21.766,3.512,18.294,9.564,1.328,117.12,1.164,0.166
4189.2998,78.603,79.15,143.733,2.668,112.499,17.468,24.978,21.762,3.558,18.235,9.514,1.328,117.501,1.153,0.159
4189.3999,78.869,78.679,141.868,2.666,112.483,17.086,24.978,21.76,3.59,18.132,9.478,1.328,116.978,1.096,0.15
4189.5,78.978,78.094,140.362,2.667,111.547,16.837,24.978,21.761,3.617,18.011,9.44,1.328,117.025,1.019,0.144
4189.6001,78.884,77.483,139.108,2.67,109.573,16.918,24.978,21.764,3.583,17.898,9.428,1.328,117.213,0.924,0.144
4189.7002,78.658,76.886,138.28,2.673,106.703,17.211,24.978,21.768,3.466,17.941,9.45,1.323,117.376,0.82,0.149
4189.7998,78.355,76.352,137.782,2.677,103.377,17.423,24.978,21.77,3.287,18.142,9.506,1.32,117.466,0.712,0.148
4189.8999,77.975,75.869,137.393,2.678,100.709,17.212,24.978,21.771,3.12,18.419,9.577,1.324,117.504,0.603,0.14
4190.0,77.479,75.505,137.004,2.677,99.54,16.784,24.978,21.771,3.008,18.549,9.67,1.347,117.439,0.512,0.13
4190.1001,76.829,75.236,136.643,2.674,99.849,16.507,24.978,21.77,2.92,18.58,9.784,1.333,117.297,0.443,0.13
4190.2002,76.035,75.045,136.393,2.668,100.969,16.685,24.978,21.768,2.851,18.631,9.882,1.332,117.115,0.457,0.143
4190.2998,75.203,75.036,136.615,2.664,101.972,17.235,24.978,21.766,2.802,18.74,9.933,1.333,116.896,0.53,0.163
4190.3999,74.425,75.197,137.914,2.661,102.302,17.883,24.978,21.764,2.783,18.828,9.954,1.333,116.666,0.647,0.182
4190.5,73.844,75.466,139.856,2.66,101.865,18.328,24.978,21.762,2.797,18.816,9.969,1.334,116.429,0.835,0.193
4190.6001,73.621,75.841,142.17,2.661,101.518,18.562,24.978,21.76,2.831,18.729,9.979,1.335,116.178,1.024,0.198
4190.7002,73.839,76.228,144.097,2.663,102.022,18.756,24.978,21.758,2.888,18.728,9.945,1.33,115.918,1.214,0.2
4190.7998,74.506,76.615,145.703,2.667,103.781,18.917,24.977,21.754,2.978,18.932,9.839,1.337,115.65,1.351,0.199
4190.8999,75.476,76.949,146.602,2.672,106.256,18.968,24.975,21.746,3.08,19.215,9.703,1.335,115.366,1.432,0.194
4191.0,76.48,77.28,147.383,2.678,108.326,18.917,24.962,21.725,3.176,19.383,9.595,1.331,115.05,1.46,0.186
4191.1001,77.35,77.611,148.072,2.684,109.323,18.805,24.919,21.676,3.243,19.318,9.559,1.341,114.705,1.467,0.177
4191.2002,77.98,78.027,148.889,2.687,109.236,18.674,24.8,21.563,3.294,19.12,9.58,1.342,114.314,1.429,0.171
4191.2998,78.402,78.457,149.846,2.688,108.885,18.51,24.598,21.387,3.334,18.877,9.638,1.344,113.937,1.337,0.166
4191.3999,78.64,78.904,150.95,2.687,108.685,18.308,24.326,21.158,3.365,18.615,9.728,1.345,113.569,1.178,0.162
4191.5,78.74,79.285,151.462,2.685,109.006,18.182,24.008,20.892,3.384,18.276,9.866,1.303,113.287,1.015,0.161
4191.6001,78.843,79.661,151.871,2.684,109.919,18.314,23.675,20.608,3.384,17.867,10.066,1.309,113.053,0.854,0.168
4191.7002,79.048,80.03,152.172,2.682,111.152,18.766,23.336,20.315,3.37,17.475,10.292,1.305,112.876,0.851,0.182
4191.7998,79.388,80.305,152.395,2.682,112.009,19.284,23.017,20.038,3.352,17.239,10.466,1.292,112.797,0.882,0.195
4191.8999,79.766,80.513,152.6,2.683,111.974,19.411,22.752,19.813,3.346,17.242,10.523,1.296,112.756,0.939,0.195
4192.0,80.052,80.631,152.786,2.684,111.308,18.965,22.576,19.672,3.351,17.464,10.471,1.295,112.761,1.08,0.178
4192.1001,80.117,80.561,152.565,2.686,110.726,18.236,22.519,19.642,3.362,17.879,10.337,1.311,112.787,1.211,0.158
4192.2002,79.919,80.41,152.162,2.687,110.726,17.818,22.584,19.725,3.381,18.399,10.145,1.311,112.808,1.282,0.148
4192.2998,79.513,80.159,151.536,2.686,111.013,17.934,22.754,19.898,3.403,18.919,9.934,1.301,112.815,1.302,0.155
4192.3999,78.982,79.886,150.764,2.684,111.177,18.435,23.022,20.145,3.421,19.39,9.732,1.312,112.808,1.307,0.172
4192.5,78.47,79.645,150.137,2.681,111.101,18.837,23.341,20.419,3.428,19.789,9.565,1.312,112.823,1.307,0.184
4192.6001,78.103,79.481,149.893,2.68,110.896,18.729,23.638,20.661,3.431,20.124,9.426,1.312,112.891,1.268,0.179
4192.7002,77.951,79.36,150.092,2.681,110.503,17.951,23.846,20.818,3.434,20.344,9.315,1.311,112.875,1.202,0.152
4192.7998,78.04,79.271,150.499,2.682,109.738,16.748,23.898,20.841,3.438,20.329,9.256,1.312,112.845,1.092,0.119
4192.8999,78.274,79.236,151.161,2.683,108.711,15.812,23.805,20.743,3.448,20.168,9.227,1.312,112.844,0.978,0.096
4193.0,78.581,79.255,151.455,2.682,107.716,15.638,23.578,20.537,3.465,19.935,9.213,1.288,112.859,0.872,0.101
4193.1001,78.888,79.297,151.472,2.681,107.027,16.521,23.244,20.252,3.497,19.724,9.188,1.288,112.898,0.811,0.129
4193.2002,79.141,79.359,150.959,2.681,106.727,17.935,22.897,19.97,3.539,19.469,9.157,1.287,113.003,0.752,0.166
4193.2998,79.311,79.345,149.93,2.683,106.906,19.134,22.619,19.757,3.586,19.122,9.136,1.309,113.177,0.709,0.19
4193.3999,79.358,79.256,148.655,2.686,107.433,19.304,22.498,19.685,3.635,18.743,9.13,1.292,113.398,0.762,0.186
4193.5,79.252,78.961,147.328,2.688,107.766,18.612,22.573,19.783,3.663,18.309,9.177,1.272,113.705,0.653,0.164
4193.6001,78.977,78.532,146.082,2.689,107.333,17.839,22.851,20.054,3.656,17.789,9.309,1.285,114.048,0.438,0.145
4193.7002,78.525,78.023,144.925,2.689,106.117,17.507,23.344,20.508,3.617,17.157,9.521,1.291,114.407,0.243,0.138
4193.7998,77.972,77.482,144.106,2.69,104.829,17.555,24.008,21.102,3.567,16.633,9.729,1.3,114.73,0.102,0.139
4193.8999,77.411,77.029,143.491,2.691,104.291,17.645,24.763,21.763,3.525,16.401,9.857,1.275,114.977,0.009,0.14
4194.0,76.915,76.66,143.039,2.692,104.801,17.607,25.478,22.37,3.485,16.448,9.918,1.299,115.16,0.123,0.138
4194.1001,76.529,76.546,142.84,2.691,105.724,17.56,25.976,22.778,3.443,16.725,9.939,1.301,115.203,0.211,0.138
4194.2002,76.26,76.559,142.771,2.689,106.528,17.676,26.201,22.949,3.406,17.013,9.96,1.295,115.179,0.274,0.145
4194.2998,76.124,76.679,142.817,2.685,107.284,17.98,26.179,22.917,3.38,17.344,9.96,1.31,115.099,0.494,0.158
4194.3999,76.151,76.887,143.25,2.681,108.245,18.265,26.015,22.774,3.371,17.736,9.914,1.287,114.948,0.642,0.169
4194.5,76.308,77.085,143.884,2.678,109.132,18.305,25.853,22.64,3.37,18.161,9.844,1.287,114.771,0.7,0.172
4194.6001,76.583,77.273,144.72,2.676,109.658,18.116,25.741,22.549,3.373,18.579,9.764,1.272,114.569,0.757,0.168
4194.7002,76.974,77.417,145.909,2.675,109.795,17.917,25.662,22.486,3.379,18.842,9.72,1.283,114.346,0.817,0.164
4194.7998,77.439,77.563,147.093,2.675,109.763,17.871,25.574,22.419,3.39,19.035,9.687,1.281,114.119,0.878,0.163
4194.8999,77.94,77.714,148.273,2.678,109.865,17.928,25.474,22.346,3.402,19.195,9.663,1.274,113.886,0.979,0.162
4195.0,78.4,77.965,149.179,2.681,110.339,17.948,25.375,22.278,3.416,19.348,9.638,1.287,113.615,1.04,0.158
4195.1001,78.762,78.236,149.93,2.683,111.074,17.903,25.275,22.214,3.432,19.496,9.604,1.279,113.411,1.02,0.155
4195.2002,79.015,78.522,150.482,2.682,111.895,17.868,25.162,22.144,3.463,19.629,9.548,1.272,113.309,0.858,0.156
4195.2998,79.171,78.73,150.735,2.679,112.64,17.926,25.027,22.064,3.513,19.744,9.459,1.288,113.028,0.703,0.162
4195.3999,79.271,78.878,150.86,2.676,113.043,18.063,24.878,21.982,3.573,19.811,9.355,1.281,112.752,0.619,0.169
4195.5,79.351,78.932,150.824,2.674,112.956,18.182,24.737,21.914,3.629,19.831,9.256,1.285,112.531,0.556,0.174
4195.6001,79.431,78.901,150.819,2.673,112.439,18.18,24.625,21.873,3.67,19.849,9.168,1.284,112.383,0.501,0.172
4195.7002,79.51,78.85,150.855,2.675,111.437,18.053,24.554,21.869,3.703,19.868,9.08,1.265,112.267,0.451,0.167
4195.7998,79.566,78.794,150.97,2.676,110.001,17.931,24.523,21.897,3.724,19.904,8.982,1.289,112.191,0.438,0.163
4195.8999,79.58,78.797,151.155,2.676,108.376,17.927,24.525,21.948,3.719,19.907,8.912,1.288,111.963,0.438,0.165
4196.0,79.539,78.816,151.356,2.674,107.233,18.107,24.542,21.994,3.684,19.834,8.917,1.279,111.759,0.438,0.173
4196.1001,79.467,78.836,151.546,2.671,106.818,18.359,24.548,22.013,3.632,19.732,8.979,1.279,111.749,0.445,0.183
4196.2002,79.384,78.841,151.644,2.668,106.863,18.517,24.535,21.997,3.578,19.649,9.061,1.274,111.796,0.463,0.188
4196.2998,79.311,78.829,151.676,2.667,107.048,18.398,24.509,21.951,3.527,19.655,9.127,1.301,111.872,0.521,0.185
4196.3999,79.259,78.774,151.584,2.667,107.478,18.113,24.478,21.888,3.485,19.757,9.168,1.297,111.985,0.585,0.177
4196.5,79.232,78.689,151.365,2.666,108.427,17.829,24.444,21.818,3.466,20.014,9.157,1.275,112.223,0.661,0.171
4196.6001,79.231,78.606,151.1,2.665,109.812,17.653,24.426,21.759,3.476,20.413,9.09,1.275,112.482,0.789,0.168
4196.7002,79.238,78.594,150.897,2.664,110.922,17.583,24.447,21.729,3.497,20.837,9.007,1.283,112.552,0.921,0.167
