DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
3616.5,77.689,73.973,119.75,2.545,239.281,14.119,33.618,30.394,2.103,14.894,22.427,6.609,84.973,4.535,175.441
3616.625,76.928,73.714,119.312,2.539,227.65,13.828,29.018,26.554,2.013,13.83,22.247,6.602,84.971,4.506,177.365
3616.75,75.994,73.106,118.475,2.534,218.998,13.331,25.454,23.305,2.006,13.335,22.048,6.615,84.943,4.474,179.269
3616.875,75.091,72.337,117.911,2.529,214.731,12.986,23.623,21.41,2.01,13.02,22.007,6.576,85.477,4.468,181.012
3617.0,74.776,71.802,116.979,2.529,216.541,12.858,23.756,21.369,2.009,12.491,22.207,6.602,85.598,4.5,181.012
3617.125,74.936,71.423,116.804,2.518,224.058,12.749,27.212,24.51,2.018,11.384,23.172,6.601,85.806,4.653,185.014
3617.25,75.04,71.265,116.529,2.517,237.469,12.492,34.862,31.503,2.037,10.094,24.886,6.623,86.036,4.925,185.612
3617.375,75.373,71.226,116.221,2.522,255.535,12.136,45.999,41.488,2.045,9.489,26.777,6.601,85.73,5.225,183.792
3617.5,76.19,71.172,116.137,2.53,274.011,11.921,59.683,53.37,2.037,9.512,28.204,6.601,85.762,5.451,180.939
3617.625,76.641,71.106,115.863,2.534,285.964,12.057,73.128,64.804,2.029,9.71,29.065,6.634,85.655,5.588,179.208
3617.75,76.191,71.09,115.74,2.533,286.05,12.514,82.242,72.512,2.016,10.119,29.183,6.589,85.561,5.607,179.738
3617.875,75.281,70.751,115.678,2.529,275.222,12.931,80.872,71.329,1.966,11.084,27.669,6.62,85.762,5.366,181.246
3618.0,73.737,69.708,114.443,2.528,257.859,12.888,69.881,61.874,1.884,11.84,25.536,6.62,86.279,5.028,181.608
3618.125,71.612,68.466,112.637,2.534,240.671,12.312,54.941,48.933,1.797,11.726,23.97,6.633,86.466,4.779,179.488
3618.25,69.803,68.229,112.474,2.545,227.074,11.499,43.56,39.02,1.646,11.09,23.555,6.639,86.69,4.713,175.276
3618.375,69.019,68.165,111.998,2.558,218.6,10.784,38.375,34.575,1.463,10.529,23.538,6.646,86.513,4.711,170.543
3618.5,69.02,68.154,111.921,2.566,214.271,10.29,40.373,36.719,1.349,10.231,23.605,6.665,86.37,4.721,167.834
3618.625,69.294,68.154,111.921,2.563,214.45,9.976,50.481,46.268,1.316,10.137,23.773,6.659,86.374,4.748,168.601
3618.75,69.81,68.18,111.921,2.553,221.987,9.757,63.909,58.433,1.292,10.293,24.757,6.614,86.368,4.904,172.587
3618.875,70.723,68.233,111.921,2.539,239.845,9.567,72.727,65.814,1.339,11.105,27.174,6.645,86.281,5.288,177.32
3619.0,71.895,68.233,111.921,2.528,270.555,9.392,72.409,64.69,1.563,12.791,30.089,6.651,86.273,5.75,181.65
3619.125,73.075,68.461,113.009,2.516,308.688,9.289,65.996,58.199,1.94,14.616,32.281,6.674,86.687,6.098,185.949
3619.25,74.471,68.6,114.586,2.504,341.951,9.349,56.73,49.355,2.216,15.646,33.58,6.639,87.612,6.304,190.372
3619.375,75.793,68.816,115.576,2.494,355.731,9.639,45.012,38.513,2.285,15.794,33.731,6.605,88.595,6.328,194.011
3619.5,76.229,69.155,115.795,2.489,346.13,10.218,31.368,26.341,2.327,15.689,31.804,6.65,88.418,6.022,195.598
3619.625,75.872,69.516,115.795,2.491,317.641,11.107,19.429,16.164,2.409,15.348,27.503,6.651,87.879,5.4,194.988
3619.75,75.343,69.56,115.795,2.497,277.401,12.107,11.683,9.83,2.471,14.167,22.683,6.664,87.716,5.209,192.793
3619.875,74.728,69.582,115.795,2.503,236.132,12.824,8.298,7.261,2.414,12.239,18.9,6.695,87.679,4.91,190.554
3620.0,73.744,69.829,115.795,2.506,200.414,13.048,8.642,7.841,2.229,10.489,16.416,6.703,87.49,4.51,172.688
3620.125,72.407,70.026,115.155,2.505,175.5,13.006,11.855,10.807,2.043,9.901,14.705,6.691,86.902,4.104,173.057
3620.25,71.462,69.997,113.871,2.503,161.043,13.034,16.665,14.956,1.946,10.008,13.485,6.746,85.723,3.773,174.05
3620.375,71.351,69.997,113.379,2.501,155.772,13.168,19.885,17.567,1.902,10.697,12.354,6.7,85.245,3.583,174.707
3620.5,72.326,69.97,112.626,2.502,156.352,13.236,20.111,17.682,1.916,10.948,11.599,6.714,84.718,3.564,174.32
3620.625,73.675,69.985,112.088,2.505,159.036,13.087,18.714,16.675,1.988,10.621,11.791,6.685,84.208,3.656,173.121
3620.75,75.146,69.997,111.793,2.509,160.82,12.756,19.9,18.114,2.078,9.957,12.503,6.728,83.858,3.792,171.561
3620.875,76.324,69.997,111.601,2.514,160.805,12.417,28.068,25.631,2.098,9.569,12.875,6.711,83.735,3.886,169.97
3621.0,76.405,69.994,111.354,2.519,159.515,12.224,46.112,41.425,2.103,9.302,13.062,6.691,83.508,3.937,168.177
3621.125,75.49,69.966,111.354,2.524,157.347,12.226,66.007,58.335,2.096,9.074,13.204,6.723,83.497,3.956,166.347
3621.25,74.93,69.915,111.359,2.526,154.817,12.345,77.254,67.386,2.064,9.085,13.239,6.711,83.559,3.927,165.551
3621.375,74.788,69.824,111.455,2.524,152.436,12.444,72.694,62.869,2.0,9.709,12.825,6.699,83.706,3.835,166.45
3621.5,74.635,69.601,111.875,2.517,151.07,12.458,60.8,52.486,1.946,11.091,11.878,6.757,84.097,3.696,168.797
3621.625,74.5,69.147,112.452,2.512,150.543,12.437,50.659,44.029,1.935,12.357,10.911,6.698,85.207,3.561,170.678
3621.75,74.525,68.39,112.452,2.512,149.471,12.407,46.807,41.032,1.949,12.906,10.466,6.699,86.267,3.495,170.46
3621.875,74.811,68.32,112.452,2.521,148.411,12.265,47.038,41.411,2.072,12.703,10.751,6.701,86.643,3.527,167.278
3622.0,75.178,68.14,111.85,2.533,149.738,11.913,49.185,43.339,2.265,12.804,11.547,6.7,86.522,3.628,162.842
3622.125,75.619,67.961,111.531,2.544,154.722,11.453,51.884,45.745,2.419,13.316,12.345,6.699,86.329,3.738,159.067
3622.25,75.501,67.653,110.988,2.55,160.735,11.097,54.987,48.537,2.405,13.634,12.614,6.694,86.516,3.816,156.683
3622.375,74.076,67.138,109.581,2.556,162.654,10.952,59.013,52.235,2.311,13.965,12.585,6.721,86.031,3.853,154.56
3622.5,71.914,66.992,108.825,2.562,156.498,10.923,68.374,60.649,2.164,14.571,12.697,6.679,85.581,3.846,152.392
3622.625,69.782,66.981,108.766,2.565,145.541,10.825,87.819,77.347,2.032,15.003,12.74,6.755,85.412,3.78,151.534
3622.75,68.247,66.981,108.097,2.562,135.083,10.595,110.959,96.016,1.98,15.019,11.849,6.714,85.089,3.648,152.63
3622.875,68.248,66.981,107.604,2.557,129.807,10.322,118.04,100.327,2.035,15.071,10.615,6.725,84.416,3.475,154.316
