DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4315.7,227.9281,68.77,123.9702,2.6861,131.2286,17.1432,20.3153,19.2932,2.8154,17.9129,6.6634,0.591,124.2174,0.01,10.0
4315.8,227.0397,68.576,123.3989,2.6848,130.7371,17.353,20.7899,19.7261,2.7724,18.268,6.5393,0.591,123.9711,0.01,10.0
4316.0,225.6361,68.3832,122.8104,2.6865,131.6426,16.9103,21.4216,20.2944,2.759,18.9892,6.1262,0.6209,124.048,0.01,10.0
4316.1,225.3679,68.5025,122.5069,2.6874,131.4961,16.6722,21.5312,20.389,2.7753,19.3677,5.8576,0.6209,123.7697,0.01,10.0
4316.3,225.7549,68.3691,122.0576,2.6894,130.1813,16.84,21.5178,20.3705,2.8403,19.661,5.4072,0.6527,123.279,0.01,10.0
4316.6,226.6022,67.7038,121.6931,2.7035,129.2666,16.3631,21.6,20.455,2.9063,18.6593,5.3755,0.6558,124.1013,0.01,10.0
4316.7,226.6452,67.6383,121.4754,2.707,128.4883,16.146,21.6544,20.511,2.9106,18.167,5.5085,0.6558,124.0049,0.01,10.0
4317.1,226.155,67.6049,121.2394,2.6966,128.0299,15.5548,21.7835,20.6315,2.777,16.279,6.4866,0.7209,123.7726,0.01,10.0
4317.2,226.1542,67.6213,121.214,2.6941,129.3827,15.2154,21.8372,20.6727,2.7053,16.1497,6.7103,0.7042,123.717,0.01,10.0
4317.3,226.2385,67.627,121.2126,2.6947,130.3168,15.0939,21.9093,20.7302,2.6516,16.0096,6.8907,0.7041,123.7223,0.01,10.0
4317.5,226.4118,67.6328,121.2426,2.7011,129.3808,15.7333,22.1103,20.9061,2.6264,15.3521,7.1963,0.7437,123.739,0.01,10.0
4317.6,226.3386,67.6159,121.2467,2.7059,128.2987,16.1149,22.2323,21.0192,2.6525,14.9671,7.2983,0.7503,123.7579,0.01,10.0
4318.2,224.7255,67.5057,121.104,2.7237,130.8518,15.2791,22.2704,21.0558,3.4354,14.0437,6.412,0.7883,123.846,0.01,10.0
4318.5,225.4381,67.6003,121.7131,2.6986,133.4964,15.3786,22.0806,20.8772,3.743,14.9505,5.5341,0.8193,124.0808,0.01,10.0
4318.9,226.2561,68.4122,124.7139,2.7075,131.599,16.4911,22.271,21.0772,3.5306,15.9367,5.5088,0.8574,125.5172,0.01,10.0
4319.0,226.3307,68.6157,125.437,2.7028,130.8961,16.6246,22.3266,21.1265,3.4231,16.0688,5.6574,0.8506,125.7663,0.01,10.0
4319.2,226.0999,68.7023,126.6991,2.6823,129.5553,17.0846,22.3976,21.1777,3.2278,15.9652,6.0846,0.8872,126.5772,0.01,10.0
