DEPTH,AC,DTC,DTS,DEN,GR,CNL,LLD,LLS,K,TH,U,DEVI,SHMAX,TOC,PERM
4073.2,186.675,71.5798,134.5941,2.5133,74.1764,21.6537,,0.1791,1.7403,6.5044,4.6098,23.4416,,,
4073.3,186.5623,70.63,134.4698,2.5215,71.7952,23.6282,,0.1031,1.7631,6.3291,4.4454,23.4395,,,
4073.4,185.5888,69.7713,134.5985,2.5217,69.6872,27.1653,,0.1035,1.7784,6.226,4.3456,23.4456,,,
4073.6,185.1111,69.055,134.9856,2.5076,70.888,34.9434,,0.1038,1.8449,6.4921,4.5157,23.447,,,
4074.0,182.8405,69.984,136.7728,2.506,91.4653,36.7514,,0.1059,1.9328,7.5304,6.5625,23.466,,,
4074.1,184.0471,69.6397,137.4571,2.4955,94.402,37.7578,,0.1067,1.9248,7.5067,6.7053,23.4683,,,
4074.2,184.7043,69.4313,138.0338,2.4758,96.0588,39.0817,,0.1064,1.9185,7.4828,6.7907,23.4832,,,
4074.3,187.5613,69.3683,138.4957,2.4551,96.4992,40.4755,,0.1053,1.9135,7.4777,6.8186,23.5007,,,
4074.6,197.6736,72.6455,137.3913,2.4331,92.055,41.276,,0.1029,1.9123,7.7916,6.2283,23.5133,,,
4074.9,228.3903,76.5333,136.0639,2.4217,85.6561,27.3464,,0.1031,1.9603,8.2018,5.2422,23.5224,,,
4075.0,232.6934,77.0066,136.5336,2.4338,84.4938,24.2428,,0.1025,1.9923,8.2336,5.0271,23.5429,,,
4075.4,225.1463,78.2835,139.9337,2.4802,78.1181,19.9795,43930.2383,0.1008,2.2582,7.7252,4.3153,23.6031,,,
4075.5,226.4025,78.6947,140.432,2.4032,78.2498,19.42,21970.8535,0.1003,2.3206,7.9435,4.2717,23.6139,,,
4075.7,239.429,78.9359,140.8231,2.5205,88.7851,19.5173,1542.6453,0.1011,2.5962,10.288,4.5734,23.6082,,,
4075.9,261.4962,79.2935,141.3922,2.6887,106.0576,22.1088,42.2029,0.3196,2.8223,12.0208,5.3799,23.6043,,,
4076.0,273.2316,79.3641,142.0909,2.6931,111.814,23.8005,626.2101,1.6148,2.8582,12.0909,5.5334,23.5991,,,
4076.1,283.6844,79.37,143.2408,2.6675,114.4353,25.022,3381.1045,5.599,2.8814,12.0576,5.5632,23.6118,,,
4076.2,291.235,79.388,144.5152,2.6397,114.5611,25.4809,9119.8076,12.5865,2.9148,12.0065,5.5857,23.6267,,,
4076.4,295.8915,79.6643,146.7582,2.6293,112.9714,25.0053,18175.877,23.1927,3.0231,11.9562,5.539,23.6583,,,
4076.6,289.937,79.9791,147.5589,2.6511,112.2995,24.508,9600.9316,16.2757,3.1502,12.1188,5.2949,23.6641,,,
4076.9,275.7331,80.0442,146.7774,2.6305,113.1387,22.2921,8.7244,9.4058,3.2537,12.4975,4.9614,23.6294,,,
4077.2,262.0824,79.7374,146.1948,2.6577,112.4301,23.3989,9.376,10.861,3.1451,12.798,4.8836,23.7051,,,
4077.3,257.6989,79.3155,145.8575,2.6729,111.1812,24.6306,9.6419,11.2375,3.0203,12.8203,4.9632,23.7068,,,
4077.5,250.4491,78.1467,144.9195,2.6932,108.1733,25.796,10.7575,12.3948,2.8093,12.7363,5.128,23.7275,,,
4077.7,245.6447,76.9204,143.6429,2.6929,107.7137,25.6245,12.4691,14.5783,2.7302,12.6482,5.137,23.7233,,,
4077.8,244.8951,76.454,143.0632,2.6875,107.6666,25.812,13.1891,15.5445,2.7328,12.639,5.0611,23.6958,,,
4077.9,245.4365,76.2701,142.8012,2.681,107.3933,26.5278,13.6616,15.9975,2.7652,12.6252,4.956,23.7072,,,
4078.1,248.8894,76.3787,142.9577,2.6721,107.1569,28.748,14.0717,15.6622,2.8723,12.5594,4.7751,23.7191,,,
4078.2,250.3862,76.643,143.3454,2.6719,107.4944,28.9411,14.2126,15.4113,2.9424,12.5578,4.691,23.6987,,,
4078.4,250.9424,77.2572,143.8657,2.6746,109.4377,26.448,14.5526,15.5332,3.1011,12.7196,4.5299,23.7261,,,
4078.5,250.1266,77.3957,143.6749,2.6747,111.1083,24.9881,14.6771,15.8483,3.1533,12.874,4.4942,23.7429,,,
4078.6,248.9109,77.4205,143.3081,2.6746,112.5799,24.0575,14.7216,16.1348,3.1706,13.0318,4.5019,23.7288,,,
4078.9,245.5554,76.7255,141.6275,2.6793,112.6171,23.7125,14.5149,15.6375,3.1229,13.2444,4.6762,23.7526,,0.0,10.0
4079.0,244.9389,76.5011,141.4052,2.6773,112.9427,23.6835,14.4701,15.1853,3.1069,13.1856,4.7526,23.7651,,0.0,10.0
4079.1,244.6009,76.3472,141.5058,2.6717,113.8725,23.62,14.4922,14.7531,3.0991,13.0376,4.8444,23.7676,,0.0,10.0
4079.2,244.6398,76.2211,141.7737,2.6652,114.6922,23.6309,14.5748,14.3679,3.1016,12.8478,4.9418,23.7495,108.6908,0.0,10.0
4079.3,245.1685,76.0936,142.2063,2.6602,114.8732,23.8167,14.6917,14.0635,3.116,12.6077,5.0451,23.7522,108.6343,0.0,10.0
4079.4,246.0997,75.9159,142.5874,2.6579,114.6787,24.0945,14.8009,13.9148,3.1469,12.3506,5.1283,23.7568,108.5803,0.0,10.0
4079.8,247.4148,75.4852,142.565,2.6565,118.9625,23.1794,14.5735,13.6265,3.3952,11.7041,5.1511,23.7358,108.6002,0.0,10.0
4079.9,246.3802,75.5253,142.1362,2.6544,120.1229,22.7839,14.448,13.1418,3.4335,11.5662,5.1436,23.7315,108.6676,0.0,10.0
4080.0,245.1371,75.5268,141.6152,2.6515,121.1096,22.5074,14.3485,12.6754,3.4715,11.4212,5.1244,23.7183,108.7576,0.0,10.0
4080.1,244.0674,75.4928,141.0254,2.6496,121.7089,22.224,14.2747,12.3294,3.5084,11.2752,5.09,23.7537,108.8695,0.0,10.0
4080.2,243.3947,75.326,140.4394,2.6509,121.4426,21.7862,14.2184,12.1198,3.5419,11.0693,5.0646,23.7405,108.9987,0.0,10.0
